x,y,z
雷凌,1.8L 99马力 L4,4.9
卡罗拉,1.8L 99马力 L4,4.96
雷克萨斯CT,1.8L 99马力 L4,5.51
哥瑞,1.5L 131马力 L4,6.09
锋范,1.5L 131马力 L4,6.26
凌渡,1.4T 131马力 L4,6.39
桑塔纳,1.4L 90马力 L4,6.4
英朗,1.0T 125马力 L3,6.41
昕动,1.6L 110马力 L4,6.41
昕锐,1.4L 90马力 L4,6.43
马自达3 Axela昂克塞拉,1.5L 117马力 L4,6.44
昕动,1.4L 90马力 L4,6.45
英朗,1.5L 114马力 L4,6.48
科沃兹,1.5L 113马力 L4,6.48
昕动,1.4T 131马力 L4,6.5
捷达,1.5L 110马力 L4,6.5
启辰D50,1.6L 117马力 L4,6.53
阳光,1.5L 112马力 L4,6.54
朗行,1.2T 110马力 L4,6.56
昕锐,1.6L 110马力 L4,6.59
轩逸,1.6L 126马力 L4,6.59
启悦,1.6L 122马力 L4,6.6
朗逸,1.6L 110马力 L4,6.61
捷达,1.4L 90马力 L4,6.62
桑塔纳,1.6L 110马力 L4,6.64
明锐,1.6L 110马力 L4,6.66
宝骏310W,1.2L 82马力 L4,6.67
朗逸,1.4T 131马力 L4,6.67
高尔夫,1.4T 131马力 L4,6.68
LANNIA 蓝鸟,1.6L 126马力 L4,6.68
